Treatment,"AU"
Control,"0.2628946579"
Control,"0.1301548779"
Control,"0.2029653587"
Control,"0.1339873773"
Control,"0.1027175941"
Control,"0.06259099337"
Control,"0.1602624666"
Control,"0.2431238702"
Control,"0.09665505005"
Control,"0.177826341"
Mineral,"0.1516500174"
Mineral,"0.04758059789"
Mineral,"0.04438739888"
Mineral,"0.0231644931"
Mineral,"0.091156747"
Mineral,"0.09136275873"
Mineral,"-0.002538263678"
Mineral,"0.2083824477"
Mineral,"0.1248099761"
Mineral,"0.2019325087"
Nanoparticle,"0.1791483036"
Nanoparticle,"0.09065644476"
Nanoparticle,"0.06290710393"
Nanoparticle,"0.07831286352"
Nanoparticle,"0.09688689749"
Nanoparticle,"0.0724343315"
Nanoparticle,"0.1492404546"
Nanoparticle,"0.1654200073"
Nanoparticle,"0.02993881011"
Nanoparticle,"0.2060190413"